Landkreis;Personen;Altersgruppe;Geschlecht;Nationalität
SK Berlin Steglitz-Zehlendorf;1079;A60-A64;M;A
SK Berlin Steglitz-Zehlendorf;2589;A65+;M;A
SK Berlin Tempelhof-Schöneberg;1622;A00-A05;M;A
SK Berlin Tempelhof-Schöneberg;2425;A06-A14;M;A
SK Berlin Tempelhof-Schöneberg;714;A15-A17;M;A
SK Berlin Tempelhof-Schöneberg;495;A18-A19;M;A
SK Berlin Tempelhof-Schöneberg;2355;A20-A24;M;A
SK Berlin Tempelhof-Schöneberg;4412;A25-A29;M;A
SK Berlin Tempelhof-Schöneberg;5157;A30-A34;M;A
SK Berlin Tempelhof-Schöneberg;4284;A35-A39;M;A
SK Berlin Tempelhof-Schöneberg;3573;A40-A44;M;A
SK Berlin Tempelhof-Schöneberg;8350;A45-A59;M;A
SK Berlin Tempelhof-Schöneberg;1645;A60-A64;M;A
SK Berlin Tempelhof-Schöneberg;3607;A65+;M;A
SK Berlin Neukölln;1558;A00-A05;M;A
SK Berlin Neukölln;2369;A06-A14;M;A
SK Berlin Neukölln;727;A15-A17;M;A
SK Berlin Neukölln;505;A18-A19;M;A
SK Berlin Neukölln;2486;A20-A24;M;A
SK Berlin Neukölln;5315;A25-A29;M;A
SK Berlin Neukölln;6971;A30-A34;M;A
SK Berlin Neukölln;5982;A35-A39;M;A
SK Berlin Neukölln;4810;A40-A44;M;A
SK Berlin Neukölln;10347;A45-A59;M;A
SK Berlin Neukölln;1854;A60-A64;M;A
SK Berlin Neukölln;3691;A65+;M;A
SK Berlin Treptow-Köpenick;1351;A00-A05;M;A
SK Berlin Treptow-Köpenick;1682;A06-A14;M;A
SK Berlin Treptow-Köpenick;480;A15-A17;M;A
SK Berlin Treptow-Köpenick;335;A18-A19;M;A
SK Berlin Treptow-Köpenick;1618;A20-A24;M;A
SK Berlin Treptow-Köpenick;2983;A25-A29;M;A
SK Berlin Treptow-Köpenick;3356;A30-A34;M;A
SK Berlin Treptow-Köpenick;2481;A35-A39;M;A
SK Berlin Treptow-Köpenick;1726;A40-A44;M;A
SK Berlin Treptow-Köpenick;2888;A45-A59;M;A
SK Berlin Treptow-Köpenick;437;A60-A64;M;A
SK Berlin Treptow-Köpenick;586;A65+;M;A
SK Berlin Marzahn-Hellersdorf;2217;A00-A05;M;A
SK Berlin Marzahn-Hellersdorf;2507;A06-A14;M;A
SK Berlin Marzahn-Hellersdorf;681;A15-A17;M;A
SK Berlin Marzahn-Hellersdorf;422;A18-A19;M;A
SK Berlin Marzahn-Hellersdorf;1730;A20-A24;M;A
SK Berlin Marzahn-Hellersdorf;2796;A25-A29;M;A
SK Berlin Marzahn-Hellersdorf;3016;A30-A34;M;A
SK Berlin Marzahn-Hellersdorf;2360;A35-A39;M;A
SK Berlin Marzahn-Hellersdorf;1764;A40-A44;M;A
SK Berlin Marzahn-Hellersdorf;3499;A45-A59;M;A
SK Berlin Marzahn-Hellersdorf;569;A60-A64;M;A
SK Berlin Marzahn-Hellersdorf;601;A65+;M;A
SK Berlin Lichtenberg;2657;A00-A05;M;A
SK Berlin Lichtenberg;2956;A06-A14;M;A
SK Berlin Lichtenberg;748;A15-A17;M;A
SK Berlin Lichtenberg;565;A18-A19;M;A
SK Berlin Lichtenberg;2853;A20-A24;M;A
SK Berlin Lichtenberg;5235;A25-A29;M;A
SK Berlin Lichtenberg;5495;A30-A34;M;A
SK Berlin Lichtenberg;4136;A35-A39;M;A
SK Berlin Lichtenberg;2574;A40-A44;M;A
SK Berlin Lichtenberg;4984;A45-A59;M;A
SK Berlin Lichtenberg;965;A60-A64;M;A
SK Berlin Lichtenberg;897;A65+;M;A
SK Berlin Reinickendorf;1534;A00-A05;M;A
SK Berlin Reinickendorf;2476;A06-A14;M;A
SK Berlin Reinickendorf;825;A15-A17;M;A
